shipment_id,customer_id,origin_city,dest_city,dest_address,ship_date,delivery_date,status,failure_reason,weight_kg
SH2410065,5007,Hamburg,Malmo,90 Bridge St,2024-06-11,2024-11-04,delivered,-,62.93
SH2410066,4820,Antwerp,Aarhus,23 Dock Approach,2024-05-11,2024-02-25,in_transit,,59.69
SH2410067,4846,Antwerp,Bilbao,133 Dock Approach,2024-10-25,2024-08-21,delivered,NULL,24.54
SH2410068,4589,Aarhus,Malmo,32 Main St,2024-11-20,2024-04-23,in_transit,,50.20
SH2410069,4232,Aarhus,Bremen,166 Kingsway,2024-08-23,2024-05-17,failed,customs_hold,88.72
SH2410070,5128,Lyon,Manchester,49 Kingsway,2024-02-09,2024-07-11,in_transit,N/A,74.35
SH2410071,4611,Malmo,Lyon,115 Elm Grove,2024-06-11,2024-09-25,failed,damaged_in_transit,78.76
SH2410072,4489,Manchester,Porto,220 Bridge St,2024-01-11,2024-12-16,failed,customs_hold,89.46
SH2410073,5335,Lyon,Malmo,10 Kingsway,2024-09-19,2024-06-28,failed,address_incorrect,47.84
SH2410074,5479,Lyon,Dublin,223 Kingsway,2024-02-16,2024-05-11,failed,address_incorrect,77.16
SH2410075,5092,Manchester,Utrecht,161 Elm Grove,2024-09-02,2024-10-03,returned,N/A,90.27
SH2410076,4888,Bremen,Bremen,114 Kingsway,2024-12-10,2024-01-02,delivered,N/A,32.76
SH2410077,4500,Dublin,Marseille,44 Kingsway,2024-02-20,2024-07-20,failed,site_access_denied,13.38
SH2410078,4520,Aarhus,Turin,171 Main St,2024-08-10,2024-11-18,failed,damaged_in_transit,89.39
SH2410079,4868,Turin,Aarhus,217 Mill Lane,2024-04-13,2024-08-04,in_transit,N/A,52.23
SH2410080,4604,Rotterdam,Manchester,71 Main St,2024-10-28,2024-11-25,delivered,nan,67.57
SH2410081,4586,Porto,Leeds,57 Station Rd,2024-10-09,2024-11-25,returned,NULL,57.04
SH2410082,5323,Antwerp,Gdansk,202 Elm Grove,2024-01-19,2024-06-24,delivered,N/A,67.77
SH2410083,4270,Leeds,Turin,213 Kingsway,2024-05-27,2024-08-26,delivered,,42.65
SH2410084,4462,Manchester,Leeds,24 Bridge St,2024-01-09,2024-09-04,returned,N/A,53.11
SH2410085,4760,Bremen,Porto,121 Main St,2024-10-18,2024-06-20,delivered,-,82.34
SH2410086,4836,Bremen,Lyon,12 Main St,2024-05-16,2024-02-04,in_transit,NULL,35.48
SH2410087,5426,Dublin,Lyon,227 Bridge St,2024-11-04,2024-08-20,delivered,,62.63
SH2410088,4910,Porto,Leeds,26 Dock Approach,2024-09-21,2024-06-02,delivered,,85.91
SH2410089,4187,Bilbao,Rotterdam,13 Dock Approach,2024-04-05,nan,delivered,nan,19.94
SH2410090,4672,Lyon,Rotterdam,71 Kingsway,2024-03-18,2024-05-26,returned,,12.36
SH2410091,4487,Utrecht,Rotterdam,45 Mill Lane,2024-01-05,2024-12-14,returned,,43.36
SH2410092,5051,Bremen,Aarhus,129 Station Rd,2024-10-02,2024-12-26,returned,nan,27.65
SH2410093,4063,Antwerp,Malmo,217 Bridge St,2024-07-22,2024-02-16,failed,address_incorrect,81.43
SH2410094,4303,Hamburg,Lyon,71 Dock Approach,2024-07-20,2024-09-10,in_transit,-,9.43
SH2410095,5340,Bilbao,Dublin,116 Station Rd,2024-07-11,2024-08-13,delivered,N/A,38.91
SH2410096,4766,Lyon,Malmo,18 Harbour Rd,2024-02-03,2024-07-04,delivered,NULL,50.57
SH2410097,5150,Utrecht,Bremen,106 Dock Approach,2024-11-25,2024-07-28,delivered,N/A,54.54
SH2410098,5183,Bilbao,Lyon,169 Elm Grove,2024-04-28,2024-02-12,delivered,,69.13
SH2410099,4878,Rotterdam,Turin,8 Kingsway,2024-05-23,2024-05-11,delivered,NULL,51.47
SH2410100,4290,Rotterdam,Hamburg,192 Station Rd,2024-07-14,2024-08-11,delivered,N/A,70.42
SH2410101,4173,Antwerp,Lyon,41 Main St,2024-11-03,2024-05-15,failed,site_access_denied,40.28
SH2410102,5049,Bremen,Leeds,111 Harbour Rd,2024-05-22,2024-11-19,returned,N/A,4.59
SH2410103,5227,Antwerp,Rotterdam,53 Mill Lane,2024-04-25,2024-03-25,delivered,,1.20
SH2410104,4359,Lyon,Manchester,137 Station Rd,2024-09-18,2024-11-26,failed,address_incorrect,39.76
SH2410105,4159,Utrecht,Dublin,147 Bridge St,2024-12-21,2024-07-10,delivered,N/A,15.97
SH2410106,4942,Leeds,Hamburg,112 Harbour Rd,2024-04-14,2024-10-13,failed,damaged_in_transit,67.62
SH2410107,4344,Hamburg,Bremen,136 Station Rd,2024-06-12,2024-12-27,delivered,NULL,9.75
SH2410108,4355,Lyon,Hamburg,46 Elm Grove,2024-08-25,2024-10-25,returned,nan,58.37
SH2410109,4661,Utrecht,Lyon,113 Harbour Rd,2024-08-15,2024-11-10,in_transit,,32.17
SH2410110,4945,Aarhus,Antwerp,15 Dock Approach,2024-05-03,2024-11-28,delivered,nan,53.97
SH2410111,5188,Antwerp,Aarhus,233 Station Rd,2024-06-20,2024-08-17,delivered,-,9.82
SH2410112,4703,Hamburg,Marseille,11 Station Rd,2024-12-15,2024-08-17,delivered,N/A,34.06
SH2410113,4837,Utrecht,Antwerp,203 Dock Approach,2024-02-11,2024-02-18,delivered,N/A,65.64
SH2410114,5234,Lyon,Utrecht,21 Kingsway,2024-06-10,2024-11-23,delivered,nan,64.30
SH2410115,5144,Manchester,Utrecht,209 Kingsway,2024-11-23,2024-12-22,delivered,-,N/A
SH2410116,4369,Bilbao,Utrecht,197 Elm Grove,2024-04-08,,in_transit,nan,75.66
SH2410117,4077,Utrecht,Lyon,153 Bridge St,2024-03-06,2024-03-27,in_transit,NULL,N/A
SH2410118,5385,Porto,Aarhus,157 Mill Lane,2024-12-26,2024-08-08,delivered,-,81.86
SH2410119,5389,Aarhus,Aarhus,197 Mill Lane,2024-07-17,2024-09-14,delivered,nan,12.96
SH2410120,5313,Malmo,Leeds,142 Harbour Rd,2024-12-28,2024-09-28,delivered,NULL,25.05
SH2410121,4301,Dublin,Hamburg,234 Station Rd,2024-08-12,nan,delivered,NULL,35.25
SH2410122,4459,Rotterdam,Utrecht,239 Harbour Rd,2024-12-21,2024-06-26,delivered,N/A,83.07
SH2410123,4284,Malmo,Aarhus,158 Main St,2024-02-01,2024-05-07,in_transit,nan,48.00
SH2410124,4590,Porto,Gdansk,32 Main St,2024-04-14,2024-11-26,delivered,,75.80
SH2410125,5097,Rotterdam,Porto,"184 Kingsway, Unit 10",2024-07-01,2024-10-12,failed,recipient_absent,60.29
SH2410126,4738,Hamburg,Rotterdam,100 Elm Grove,2024-01-21,2024-07-12,delivered,N/A,71.47
SH2410127,5345,Bremen,Utrecht,35 Main St,2024-06-18,2024-06-27,returned,-,88.77
SH2410128,4373,Lyon,Hamburg,184 Elm Grove,2024-01-10,2024-04-02,delivered,N/A,84.50
SH2410129,5112,Malmo,Turin,10 Station Rd,2024-05-12,2024-01-28,delivered,,72.44
SH2410130,4819,Aarhus,Manchester,87 Kingsway,2024-08-23,2024-08-12,in_transit,N/A,72.60
SH2410131,4161,Dublin,Marseille,140 Mill Lane,2024-06-04,2024-02-11,delivered,-,54.74
SH2410132,5412,Aarhus,Leeds,115 Main St,2024-12-28,2024-06-20,delivered,,7.25
SH2410133,4744,Marseille,Rotterdam,37 Elm Grove,2024-01-05,2024-02-08,delivered,N/A,34.96
SH2410134,5239,Lyon,Aarhus,95 Dock Approach,2024-08-25,2024-02-19,delivered,-,28.79
SH2410135,4232,Rotterdam,Marseille,128 Bridge St,2024-09-04,2024-05-25,failed,recipient_absent,90.17
SH2410136,5005,Bilbao,Bremen,35 Harbour Rd,2024-08-06,2024-12-15,returned,N/A,60.61
SH2410137,5126,Gdansk,Gdansk,218 Kingsway,2024-12-23,2024-12-21,delivered,nan,20.68
SH2410138,4284,Porto,Malmo,7 Dock Approach,2024-09-19,2024-06-15,in_transit,NULL,55.58
SH2410139,4633,Manchester,Malmo,135 Bridge St,2024-07-27,2024-10-03,delivered,,41.00
SH2410140,4705,Lyon,Marseille,197 Kingsway,2024-07-17,2024-01-27,delivered,N/A,15.32
SH2410141,5452,Porto,Leeds,133 Mill Lane,2024-02-09,2024-04-21,delivered,NULL,56.75
SH2410142,4191,Marseille,Lyon,44 Dock Approach,2024-10-02,nan,delivered,NULL,69.53
SH2410143,5308,Rotterdam,Malmo,228 Mill Lane,2024-11-10,2024-08-08,returned,-,27.27
SH2410144,4122,Marseille,Aarhus,107 Elm Grove,2024-08-07,2024-06-20,returned,N/A,66.58
SH2410145,4816,Lyon,Leeds,132 Harbour Rd,2024-06-08,2024-08-04,delivered,NULL,9.21
SH2410146,4786,Dublin,Porto,222 Kingsway,2024-06-19,2024-12-11,delivered,-,90.14
SH2410147,4631,Malmo,Rotterdam,24 Bridge St,2024-09-15,2024-04-07,delivered,,25.82
SH2410148,5339,Malmo,Gdansk,138 Main St,2024-02-14,2024-03-09,failed,damaged_in_transit,4.57
SH2410149,5150,Bilbao,Leeds,142 Mill Lane,2024-02-13,2024-09-15,delivered,nan,61.74
SH2410150,4198,Manchester,Leeds,204 Dock Approach,2024-09-12,2024-03-07,failed,site_access_denied,N/A
SH2410151,4970,Aarhus,Lyon,156 Kingsway,2024-06-20,2024-06-06,in_transit,N/A,53.94
SH2410152,5043,Malmo,Gdansk,122 Main St,2024-06-11,2024-11-04,in_transit,N/A,72.21
SH2410153,5409,Rotterdam,Malmo,68 Station Rd,2024-12-02,2024-10-16,returned,nan,70.21
SH2410154,5394,Porto,Antwerp,147 Harbour Rd,2024-04-01,2024-08-11,failed,recipient_absent,37.43
SH2410155,4965,Antwerp,Lyon,133 Station Rd,2024-09-11,2024-11-16,delivered,NULL,41.87
SH2410156,5118,Leeds,Turin,157 Elm Grove,2024-04-08,2024-05-18,delivered,N/A,63.94
SH2410157,5001,Utrecht,Malmo,90 Mill Lane,2024-05-04,2024-10-22,failed,damaged_in_transit,86.41
SH2410158,4594,Antwerp,Gdansk,183 Harbour Rd,2024-06-15,2024-11-09,delivered,NULL,75.02
SH2410159,5151,Turin,Lyon,28 Station Rd,2024-04-02,2024-11-17,delivered,,9.52
SH2410160,4967,Bremen,Lyon,2 Kingsway,2024-07-21,2024-08-16,delivered,N/A,26.19
SH2410161,4183,Porto,Antwerp,234 Kingsway,2024-07-27,2024-03-02,failed,customs_hold,17.27
SH2410162,4592,Antwerp,Rotterdam,77 Harbour Rd,2024-06-10,2024-08-21,failed,recipient_absent,77.10
SH2410163,4394,Bremen,Utrecht,42 Elm Grove,2024-11-09,N/A,delivered,nan,61.20
SH2410164,5251,Manchester,Dublin,132 Dock Approach,2024-02-13,2024-11-04,delivered,-,29.62
SH2410165,4534,Manchester,Porto,115 Mill Lane,2024-06-10,2024-10-24,delivered,N/A,62.85
SH2410166,4242,Aarhus,Gdansk,41 Bridge St,2024-11-17,2024-12-25,delivered,N/A,33.58
SH2410167,4273,Malmo,Lyon,117 Dock Approach,2024-07-23,2024-09-16,returned,NULL,69.07
SH2410168,5220,Hamburg,Aarhus,136 Dock Approach,2024-02-19,2024-02-02,in_transit,NULL,52.04
SH2410169,4671,Aarhus,Bremen,175 Station Rd,2024-12-19,2024-08-03,failed,address_incorrect,41.31
SH2410170,4935,Antwerp,Aarhus,173 Mill Lane,2024-12-01,2024-07-09,returned,NULL,N/A
SH2410171,5434,Hamburg,Antwerp,240 Harbour Rd,2024-08-02,2024-05-14,delivered,-,34.20
SH2410172,4918,Manchester,Manchester,21 Kingsway,2024-11-28,2024-06-04,in_transit,-,48.10
SH2410173,4456,Rotterdam,Rotterdam,77 Elm Grove,2024-11-24,2024-09-14,delivered,NULL,41.96
SH2410174,4386,Bremen,Antwerp,208 Bridge St,2024-10-25,2024-01-08,delivered,nan,3.52
SH2410175,5440,Antwerp,Porto,190 Main St,2024-07-15,2024-04-18,delivered,NULL,45.85
SH2410176,5498,Utrecht,Utrecht,61 Mill Lane,2024-03-22,2024-09-08,delivered,,50.60
SH2410177,4358,Dublin,Malmo,13 Dock Approach,2024-11-22,2024-07-26,returned,-,37.24
SH2410178,4376,Malmo,Porto,218 Station Rd,2024-05-28,2024-12-05,delivered,nan,37.64
SH2410179,5085,Lyon,Manchester,63 Mill Lane,2024-04-11,2024-11-03,delivered,,48.71
SH2410180,4105,Turin,Manchester,173 Main St,2024-02-07,2024-10-24,delivered,-,19.30
SH2410181,4620,Rotterdam,Bilbao,240 Station Rd,2024-12-04,2024-12-25,delivered,nan,63.84
SH2410182,4490,Utrecht,Gdansk,98 Elm Grove,2024-09-21,2024-06-10,in_transit,-,42.44
SH2410183,5479,Malmo,Utrecht,235 Station Rd,2024-06-11,2024-07-02,delivered,NULL,1.96
SH2410184,5196,Dublin,Gdansk,40 Station Rd,2024-06-08,2024-07-19,failed,site_access_denied,59.41
SH2410185,4527,Malmo,Malmo,118 Kingsway,2024-12-26,2024-06-06,in_transit,-,17.06
SH2410186,5314,Antwerp,Antwerp,"215 Harbour Rd, Unit 27",2024-11-02,2024-01-14,returned,NULL,6.62
SH2410187,4447,Aarhus,Leeds,16 Elm Grove,2024-11-16,2024-01-01,failed,address_incorrect,2.01
SH2410188,5097,Gdansk,Rotterdam,129 Bridge St,2024-03-04,2024-02-17,delivered,nan,47.88
SH2410189,4547,Manchester,Hamburg,96 Bridge St,2024-08-19,2024-04-23,returned,,59.34
SH2410190,4064,Hamburg,Manchester,98 Bridge St,2024-09-16,NULL,delivered,-,76.58
SH2410191,4678,Bremen,Antwerp,59 Station Rd,2024-12-19,,returned,N/A,81.44
SH2410192,4067,Marseille,Utrecht,5 Station Rd,2024-10-05,2024-12-27,delivered,N/A,15.12
SH2410193,4796,Utrecht,Manchester,194 Kingsway,2024-12-24,2024-02-17,delivered,,9.29
SH2410194,4155,Utrecht,Manchester,199 Dock Approach,2024-01-21,2024-05-26,failed,recipient_absent,32.52
SH2410195,4884,Marseille,Manchester,22 Mill Lane,2024-04-23,2024-02-03,failed,recipient_absent,67.07
SH2410196,4218,Hamburg,Rotterdam,79 Elm Grove,2024-06-25,2024-05-04,delivered,-,40.90
SH2410197,4835,Bremen,Rotterdam,23 Dock Approach,2024-09-03,2024-10-20,failed,address_incorrect,26.77
SH2410198,4173,Porto,Marseille,176 Bridge St,2024-03-05,2024-05-10,delivered,,15.55
SH2410199,4613,Malmo,Hamburg,93 Mill Lane,2024-04-24,2024-11-16,delivered,-,10.13
SH2410200,4810,Utrecht,Manchester,206 Dock Approach,2024-08-11,2024-07-27,returned,nan,12.75
SH2410201,5423,Bilbao,Malmo,81 Kingsway,2024-07-11,2024-05-24,failed,site_access_denied,70.88
SH2410202,4574,Manchester,Leeds,30 Station Rd,2024-10-18,2024-03-22,delivered,-,85.37
SH2410203,4596,Hamburg,Dublin,173 Elm Grove,2024-03-21,2024-05-08,delivered,-,71.52
SH2410204,5224,Malmo,Manchester,137 Bridge St,2024-09-02,2024-06-23,in_transit,nan,57.94
SH2410205,4508,Leeds,Marseille,166 Main St,2024-10-21,2024-11-21,delivered,-,10.04
SH2410206,4454,Porto,Aarhus,96 Bridge St,2024-08-25,2024-11-19,delivered,N/A,90.29
SH2410207,4605,Dublin,Hamburg,30 Kingsway,2024-06-10,2024-06-15,in_transit,-,31.85
SH2410208,5478,Aarhus,Utrecht,18 Mill Lane,2024-01-26,N/A,returned,,61.44
SH2410209,4499,Marseille,Marseille,85 Bridge St,2024-08-08,2024-07-21,returned,-,36.10
SH2410210,4404,Aarhus,Dublin,100 Main St,2024-12-07,2024-04-09,delivered,nan,9.66
SH2410211,4382,Leeds,Utrecht,51 Elm Grove,2024-02-09,2024-11-28,returned,N/A,54.23
SH2410212,5202,Bremen,Leeds,91 Elm Grove,2024-10-06,2024-11-23,in_transit,nan,8.13
SH2410213,4241,Porto,Gdansk,30 Kingsway,2024-06-23,2024-03-17,in_transit,NULL,52.23
SH2410214,4996,Marseille,Marseille,126 Mill Lane,2024-03-06,2024-06-27,delivered,N/A,86.17
SH2410215,4399,Manchester,Malmo,105 Elm Grove,2024-07-23,2024-08-16,in_transit,,72.13
SH2410216,4066,Turin,Porto,138 Mill Lane,2024-03-25,2024-08-19,failed,site_access_denied,46.47
SH2410217,4548,Leeds,Antwerp,195 Elm Grove,2024-09-07,2024-07-04,returned,NULL,27.29
SH2410218,4921,Turin,Leeds,221 Harbour Rd,2024-08-28,2024-02-25,delivered,nan,62.52
SH2410219,5249,Dublin,Marseille,158 Kingsway,2024-04-27,N/A,in_transit,N/A,54.22
SH2410220,5441,Gdansk,Gdansk,147 Mill Lane,2024-09-22,2024-02-05,failed,address_incorrect,89.82
SH2410221,4259,Lyon,Porto,38 Dock Approach,2024-04-25,2024-11-13,in_transit,N/A,57.00
SH2410222,4154,Hamburg,Manchester,132 Mill Lane,2024-12-12,2024-08-16,delivered,,66.28
SH2410223,5360,Leeds,Hamburg,204 Bridge St,2024-04-14,2024-04-16,delivered,N/A,49.76
SH2410224,4993,Utrecht,Antwerp,12 Harbour Rd,2024-11-26,2024-08-01,delivered,-,41.59
SH2410225,4876,Bilbao,Lyon,226 Mill Lane,2024-03-28,2024-05-03,delivered,,33.97
SH2410226,4338,Antwerp,Manchester,161 Mill Lane,2024-12-23,2024-04-14,returned,,0.60
SH2410227,4271,Porto,Aarhus,3 Main St,2024-12-11,2024-02-28,delivered,-,6.87
SH2410228,5496,Bremen,Bremen,81 Dock Approach,2024-05-05,2024-07-25,delivered,NULL,6.66
SH2410229,5249,Marseille,Aarhus,90 Station Rd,2024-11-24,2024-03-14,failed,recipient_absent,8.30
SH2410230,4252,Manchester,Leeds,110 Dock Approach,2024-03-08,nan,in_transit,nan,65.41
SH2410231,5414,Rotterdam,Gdansk,53 Station Rd,2024-12-13,NULL,failed,customs_hold,10.65
SH2410232,5216,Hamburg,Rotterdam,93 Dock Approach,2024-03-13,2024-10-14,returned,NULL,69.15
SH2410233,4149,Rotterdam,Hamburg,4 Mill Lane,2024-04-02,2024-01-26,delivered,nan,69.54
SH2410234,4823,Hamburg,Lyon,72 Harbour Rd,2024-05-03,2024-09-07,delivered,nan,29.91
SH2410235,5330,Hamburg,Gdansk,179 Bridge St,2024-12-28,2024-04-02,failed,address_incorrect,41.30
SH2410236,4633,Marseille,Bremen,4 Kingsway,2024-12-01,2024-03-16,in_transit,nan,70.97
SH2410237,4341,Leeds,Lyon,192 Mill Lane,2024-12-04,2024-01-11,delivered,nan,6.25
SH2410238,5180,Hamburg,Malmo,117 Dock Approach,2024-01-16,2024-10-06,delivered,,80.98
SH2410239,4236,Porto,Rotterdam,12 Main St,2024-04-02,2024-08-12,delivered,NULL,84.30
SH2410240,5132,Dublin,Porto,83 Station Rd,2024-07-24,2024-06-09,in_transit,N/A,11.25
SH2410241,4107,Marseille,Porto,206 Main St,2024-07-03,2024-08-28,delivered,N/A,8.27
SH2410242,4755,Bilbao,Gdansk,145 Mill Lane,2024-12-20,2024-04-15,failed,recipient_absent,66.42
SH2410243,4502,Lyon,Rotterdam,239 Bridge St,2024-01-08,2024-09-12,returned,,-
SH2410244,5489,Gdansk,Bremen,53 Station Rd,2024-07-16,2024-01-05,delivered,,83.41
SH2410245,5064,Dublin,Leeds,118 Harbour Rd,2024-10-04,2024-09-05,failed,address_incorrect,53.77
SH2410246,5356,Lyon,Porto,75 Mill Lane,2024-06-26,2024-07-23,delivered,N/A,41.25
SH2410247,4415,Lyon,Bremen,"40 Harbour Rd, Unit 6",2024-08-15,2024-06-14,delivered,NULL,41.17
SH2410248,4245,Hamburg,Marseille,207 Mill Lane,2024-12-23,2024-10-02,delivered,NULL,8.71
SH2410249,4728,Manchester,Antwerp,174 Mill Lane,2024-05-27,2024-03-01,failed,site_access_denied,67.83
SH2410250,4946,Bremen,Lyon,32 Main St,2024-01-27,2024-04-05,failed,damaged_in_transit,62.27
SH2410251,4172,Turin,Hamburg,6 Harbour Rd,2024-04-21,2024-08-26,delivered,,4.34
SH2410252,4344,Dublin,Manchester,128 Main St,2024-07-22,2024-07-06,delivered,N/A,25.69
SH2410253,4070,Porto,Gdansk,128 Bridge St,2024-09-16,2024-01-03,delivered,-,18.45
SH2410254,5076,Porto,Rotterdam,98 Dock Approach,2024-08-18,2024-08-12,in_transit,N/A,35.45
SH2410255,4653,Porto,Rotterdam,230 Mill Lane,2024-01-26,2024-08-17,in_transit,NULL,88.16
SH2410256,5345,Porto,Turin,137 Main St,2024-04-19,2024-07-12,delivered,NULL,21.79
SH2410257,5428,Leeds,Rotterdam,181 Dock Approach,2024-10-19,2024-03-19,failed,site_access_denied,28.31
SH2410258,4184,Antwerp,Porto,155 Station Rd,2024-01-17,2024-08-01,in_transit,NULL,73.08
SH2410259,4363,Utrecht,Antwerp,6 Kingsway,2024-10-23,2024-03-25,in_transit,N/A,86.95
