shipment_id,cust_id,origin_city,dest_city,dest_address,ship_date,delivery_date,status,failure_reason,weight_kg,service_tier
SH2510072,"0004798",Bremen,Leeds,125 Harbour Rd,2025-11-15,2025-12-07,delivered,,65.28,express_am
SH2510073,"0005107",Gdansk,Malmo,137 Elm Grove,2025-01-02,2025-06-02,returned,,37.00,express_am
SH2510074,"0005098",Lyon,Porto,237 Harbour Rd,2025-01-24,2025-03-16,failed,site_access_denied
SH2510075,"0004629",Bremen,Aarhus,157 Kingsway,2025-10-03,2025-02-04,in_transit,NULL,6.18,economy
SH2510076,"0005389",Manchester,Utrecht,31 Kingsway,2025-06-27,NULL,delivered,,11.37,express_am
SH2510077,"0004757",Marseille,Aarhus,63 Main St,2025-03-04,2025-11-20,delivered,,79.67,standard
SH2510078,"0004182",Gdansk,Dublin,178 Elm Grove,2025-12-05,2025-04-05,in_transit,-,37.58,standard
SH2510079,"0005468",Malmo,Hamburg,161 Mill Lane,2025-06-14,2025-01-18,delivered,nan,88.41,express
SH2510080,"0005282",Bilbao,Turin,14 Station Rd,2025-02-26,2025-03-22,failed,customs_hold,16.37,standard
SH2510081,"0004745",Gdansk,Bilbao,112 Mill Lane,2025-06-20,2025-08-02,delivered,nan,16.33,express_am
SH2510082,"0004145",Porto,Aarhus,152 Dock Approach,2025-07-07,2025-12-22,delivered,,29.85,express_am
SH2510083,"0004769",Porto,Hamburg,121 Elm Grove,2025-01-14,2025-03-07,failed,recipient_absent,35.36,express
SH2510084,"0004552",Bilbao,Utrecht,33 Main St,2025-12-19,2025-01-09,failed,customs_hold,38.14,express
SH2510085,"0005236",Marseille,Marseille,148 Station Rd,2025-02-14,2025-09-16,delivered,nan,43.11,standard
SH2510086,"0004505",Porto,Utrecht,112 Station Rd,2025-10-05,2025-10-01,delivered,,89.71,standard
SH2510087,"0004807",Malmo,Bremen,116 Elm Grove,2025-04-03,-,delivered,NULL,32.76,N/A
SH2510088,"0004331",Aarhus,Rotterdam,"117 Elm Grove, Unit 25",2025-03-28,2025-12-13,delivered,-,,express_am
SH2510089,"0004681",Antwerp,Gdansk,110 Mill Lane,2025-12-20,2025-09-19,returned,,56.34,standard
SH2510090,"0005381",Leeds,Antwerp,29 Bridge St,2025-06-15,2025-10-02,delivered,nan,63.94,express
SH2510091,"0004685",Porto,Bremen,167 Elm Grove,2025-12-25,2025-10-28,delivered,NULL,29.34,express_am
SH2510092,"0004129",Leeds,Leeds,116 Elm Grove,2025-09-17,2025-02-16,returned,nan,81.45,economy
SH2510093,"0005419",Hamburg,Bilbao,229 Elm Grove,2025-02-03,2025-07-06,delivered,,15.33,express
SH2510094,"0004418",Rotterdam,Gdansk,107 Kingsway,2025-08-12,2025-07-15,delivered,N/A,NULL,economy
SH2510095,"0004702",Utrecht,Malmo,152 Elm Grove,2025-08-10,2025-10-05,delivered,NULL,71.53,economy
SH2510096,"0004096",Lyon,Nîmes,73 Elm Grove,2025-03-20,2025-03-23,delivered,NULL,76.04,express
SH2510097,"0004239",Antwerp,Utrecht,148 Kingsway,2025-08-09,2025-06-06,returned,,60.40,express
SH2510098,"0005105",Marseille,Gdansk,32 Main St,2025-07-16,2025-03-15,delivered,,87.81,economy
SH2510099,"0004605",Malmo,Gdansk,194 Kingsway,2025-10-24,2025-08-11,returned,-,81.52,standard
SH2510100,"0004822",Porto,Aarhus,92 Harbour Rd,2025-06-02,2025-10-21,in_transit,NULL,70.82,nan
SH2510101,"0004912",Hamburg,Manchester,50 Elm Grove,2025-06-20,2025-10-17,returned,N/A,36.28,express_am
SH2510102,"0004763",Rotterdam,Gdansk,89 Dock Approach,2025-05-15,2025-09-03,failed,customs_hold,72.83,express_am
SH2510103,"0004848",Lyon,Hamburg,37 Station Rd,2025-05-16,nan,failed,address_incorrect,1.10,economy
SH2510104,"0005138",Aarhus,Lyon,52 Kingsway,2025-07-10,N/A,in_transit,N/A,44.97,
SH2510105,"0004315",Turin,Gdansk,164 Elm Grove,2025-02-21,2025-11-10,failed,recipient_absent,3.06,express_am
SH2510106,"0004136",Leeds,Malmo,145 Bridge St,2025-05-21,2025-11-16,delivered,N/A,46.63,economy
SH2510107,"0004119",Lyon,Utrecht,119 Kingsway,2025-06-06,2025-01-09,returned,N/A,4.88,standard
SH2510108,"0005286",Marseille,Bremen,154 Kingsway,2025-09-11,2025-06-27,delivered,N/A,62.19,standard
SH2510109,"0004720",Lyon,Rotterdam,36 Mill Lane,2025-06-25,2025-08-14,delivered,,20.11,express
SH2510110,"0005144",Bremen,Dublin,118 Harbour Rd,2025-02-27,2025-03-01,delivered,N/A,13.01,economy
SH2510111,"0004623",Rotterdam,Bremen,57 Kingsway,2025-12-05,2025-12-08,delivered,NULL,88.80,standard
SH2510112,"0004991",Dublin,Antwerp,51 Harbour Rd,2025-01-26,2025-11-17,failed,address_incorrect,N/A,standard
SH2510113,"0004253",Bilbao,Bilbao,48 Dock Approach,2025-01-03,2025-03-28,delivered,nan,31.81,express
SH2510114,"0004139",Bremen,Rotterdam,136 Station Rd,2025-12-07,2025-05-06,in_transit,,88.12,express
SH2510115,"0005449",Malmo,Leeds,179 Kingsway,2025-08-22,2025-02-06,failed,customs_hold,19.78,standard
SH2510116,"0004643",Bremen,Aarhus,29 Kingsway,2025-08-25,2025-06-23,returned,,7.90,express_am
SH2510117,"0005229",Gdansk,Aarhus,58 Bridge St,2025-05-28,2025-07-07,failed,damaged_in_transit,16.64,express_am
SH2510118,"0004811",Aarhus,Hamburg,31 Kingsway,2025-07-13,2025-12-19,returned,NULL,6.32,economy
SH2510119,"0004827",Bremen,Porto,215 Bridge St,2025-12-16,2025-05-25,in_transit,nan,25.07,express_am
SH2510120,"0005365",Manchester,Malmo,131 Mill Lane,2025-03-25,2025-08-04,failed,customs_hold,21.27,standard
SH2510121,"0004108",Hamburg,Malmo,174 Main St,2025-03-13,2025-10-22,delivered,nan,56.59,express_am
SH2510122,"0004413",Gdansk,Malmo,126 Mill Lane,2025-09-11,,failed,address_incorrect,35.03,express_am
SH2510123,"0004073",Antwerp,Marseille,143 Mill Lane,2025-12-06,2025-08-14,returned,-,44.37,express_am
SH2510124,"0005403",Malmo,Malmo,144 Kingsway,2025-09-02,2025-07-09,failed,site_access_denied,61.38,economy
SH2510125,"0004057",Antwerp,Lyon,215 Dock Approach,2025-06-26,N/A,failed,address_incorrect,39.03,express_am
SH2510126,"0005354",Porto,Porto,61 Mill Lane,2025-10-03,2025-12-03,delivered,N/A,15.78,standard
SH2510127,"0004865",Dublin,Turin,6 Elm Grove,2025-10-01,2025-06-13,delivered,nan,9.30,express
SH2510128,"0005029",Utrecht,Marseille,158 Mill Lane,2025-06-14,2025-04-16,delivered,nan,19.77,economy
SH2510129,"0004823",Porto,Hamburg,184 Harbour Rd,2025-10-11,2025-05-03,in_transit,-,38.94,standard
SH2510130,"0004618",Gdansk,Dublin,170 Dock Approach,2025-04-14,2025-07-09,failed,site_access_denied,nan,express
SH2510131,"0004436",Aarhus,Turin,240 Bridge St,2025-10-24,2025-11-02,delivered,-,13.80,economy
SH2510132,"0004840",Utrecht,Hamburg,163 Station Rd,2025-07-09,2025-05-21,returned,nan,21.75,express
SH2510133,"0004502",Gdansk,Aarhus,125 Bridge St,2025-07-21,2025-01-07,delivered,,23.76,express
SH2510134,"0004086",Malmo,Rotterdam,15 Harbour Rd,2025-06-20,-,delivered,,36.22,express
SH2510135,"0005169",Bremen,Turin,128 Harbour Rd,2025-04-20,2025-02-25,delivered,nan,66.85,express
SH2510136,"0004446",Lyon,Bremen,45 Station Rd,2025-05-15,2025-07-09,delivered,-,48.51,standard
SH2510137,"0004867",Malmo,Porto,72 Kingsway,2025-06-16,2025-12-12,delivered,nan,3.63,standard
SH2510138,"0005375",Porto,Turin,142 Bridge St,2025-05-21,2025-12-12,returned,,48.64,express_am
SH2510139,"0004804",Turin,Gdansk,24 Station Rd,2025-05-07,2025-03-15,returned,-,71.54,standard
SH2510140,"0005006",Malmo,Dublin,238 Dock Approach,2025-12-14,2025-02-27,delivered,nan,6.47,economy
SH2510141,"0004056",Antwerp,Marseille,"162 Elm Grove, Unit 26",2025-11-05,2025-01-13,delivered,N/A,52.32,express
SH2510142,"0005329",Lyon,Dublin,203 Dock Approach,2025-08-16,2025-12-05,returned,nan,74.91,express
SH2510143,"0004752",Marseille,Manchester,225 Bridge St,2025-10-08,2025-01-01,returned,nan,56.90,express_am
SH2510144,"0005436",Marseille,Antwerp,103 Bridge St,2025-10-09,2025-03-03,delivered,nan,11.06,express_am
SH2510145,"0004929",Malmo,Bremen,58 Station Rd,2025-04-28,2025-05-10,failed,recipient_absent,39.32,express
SH2510146,"0004579",Bilbao,Dublin,47 Bridge St,2025-03-01,2025-05-09,failed,recipient_absent,33.77,express_am
SH2510147,"0004960",Lyon,Utrecht,178 Bridge St,2025-11-07,2025-12-13,returned,nan,23.56,standard
SH2510148,"0004480",Malmo,Leeds,156 Main St,2025-01-09,2025-09-20,failed,damaged_in_transit,12.40,standard
SH2510149,"0004533",Marseille,Malmo,239 Dock Approach,2025-08-05,2025-02-11,failed,recipient_absent,23.94,express
SH2510150,"0004575",Leeds,Dublin,73 Mill Lane,2025-10-27,2025-05-17,delivered,N/A,66.82,express
SH2510151,"0005346",Aarhus,Antwerp,49 Kingsway,2025-01-08,2025-03-02,delivered,-,39.78,express_am
SH2510152,"0004730",Malmo,Aarhus,127 Harbour Rd,2025-12-28,2025-03-04,delivered,N/A,16.76,economy
SH2510153,"0005358",Bilbao,Rotterdam,135 Kingsway,2025-07-03,2025-04-25,delivered,N/A,2.84,standard
SH2510154,"0005209",Bremen,Utrecht,40 Main St,2025-02-15,2025-12-22,returned,N/A,,express_am
SH2510155,"0005498",Lyon,Bilbao,221 Main St,2025-11-10,,in_transit,nan,34.83,express
SH2510156,"0004816",Hamburg,Rotterdam,219 Station Rd,2025-03-13,2025-07-10,returned,NULL,11.35,express_am
SH2510157,"0004635",Lyon,Leeds,171 Harbour Rd,2025-06-17,2025-04-16,failed,customs_hold,24.66,standard
SH2510158,"0004754",Marseille,Dublin,162 Bridge St,2025-02-02,2025-09-11,returned,NULL,58.78,express_am,depot_9,scan_185
SH2510159,"0004595",Aarhus,Dublin,21 Elm Grove,2025-05-05,2025-03-22,delivered,nan,39.00,standard
SH2510160,"0005051",Bremen,Dublin,106 Harbour Rd,2025-08-22,2025-12-19,delivered,N/A,53.20,standard
SH2510161,"0005354",Aarhus,Marseille,202 Kingsway,2025-07-02,2025-02-14,delivered,N/A,53.35,express_am
SH2510162,"0004542",Utrecht,Marseille,55 Kingsway,2025-02-24,2025-10-09,delivered,-,,standard
SH2510163,"0004977",Aarhus,Manchester,223 Elm Grove,2025-05-20,2025-10-12,returned,-,72.92,
SH2510164,"0004032",Bilbao,Rotterdam,54 Elm Grove,2025-11-05,2025-11-08,returned,nan,17.68,express_am
SH2510165,"0004864",Rotterdam,Bremen,43 Kingsway,2025-12-23,2025-08-16,failed,site_access_denied,22.34,express_am
SH2510166,"0004016",Bremen,Dublin,107 Elm Grove,2025-12-19,2025-10-24,delivered,,44.37,express_am
SH2510167,"0004124",Rotterdam,Dublin,148 Dock Approach,2025-09-03,2025-05-21,failed,address_incorrect,45.03,economy
SH2510168,"0004893",Rotterdam,Marseille,74 Station Rd,2025-08-12,2025-08-08,in_transit,N/A,83.46,express_am
SH2510169,"0004600",Manchester,Dublin,214 Dock Approach,2025-08-26,2025-03-20,returned,,60.54,express
SH2510170,"0005007",Bremen,Dublin,127 Mill Lane,2025-04-07,2025-09-02,delivered,N/A,32.63,standard
SH2510171,"0004691",Dublin,Bremen,159 Station Rd,2025-02-18,2025-04-16,delivered,N/A,69.74,economy
SH2510172,"0005413",Bremen,Antwerp,238 Elm Grove,2025-08-27,2025-02-04,in_transit,,,express
SH2510173,"0004420",Leeds,Marseille,187 Mill Lane,2025-12-15,2025-09-16,delivered,NULL,58.74,express
SH2510174,"0004413",Aarhus,Dublin,197 Main St,2025-04-27,2025-08-11,delivered,,24.44,express_am
SH2510175,"0005361",Porto,Lyon,193 Bridge St,2025-04-05,2025-07-14,failed,site_access_denied,72.01,standard
SH2510176,"0004020",Hamburg,Hamburg,87 Dock Approach,2025-07-25,,returned,NULL,81.73,economy
SH2510177,"0005394",Gdansk,Köln,233 Dock Approach,2025-01-27,2025-05-17,delivered,-,40.66,express_am
SH2510178,"0005328",Manchester,Bilbao,226 Mill Lane,2025-02-02,2025-09-11,returned,NULL,47.34,express
SH2510179,"0005130",Gdansk,Utrecht,194 Kingsway,2025-01-01,2025-09-19,delivered,-,89.33,standard
SH2510180,"0004531",Leeds,Bremen,13 Harbour Rd,2025-08-10,N/A,delivered,nan,51.40,express
SH2510181,"0004582",Lyon,Manchester,134 Station Rd,2025-02-11,2025-09-19,delivered,-,9.32,express_am
SH2510182,"0004127",Dublin,Lyon,122 Station Rd,2025-08-03,2025-06-22,in_transit,nan,47.21,economy
SH2510183,"0005303",Dublin,Aarhus,177 Elm Grove,2025-12-14,2025-03-05,failed,customs_hold,12.14,standard
SH2510184,"0004932",Malmo,Antwerp,192 Kingsway,2025-09-12,2025-02-20,delivered,,33.76,express
SH2510185,"0004624",Leeds,Gdansk,76 Elm Grove,2025-01-26,2025-03-05,failed,address_incorrect,84.81,economy
SH2510186,"0005001",Rotterdam,Bremen,141 Dock Approach,2025-02-28,2025-01-14,delivered,nan,41.21,express_am
SH2510187,"0005474",Lyon,Lyon,130 Elm Grove,2025-08-22,2025-08-05,delivered,,72.48,express_am
SH2510188,"0004809",Utrecht,Antwerp,172 Elm Grove,2025-12-09,2025-11-03,returned,,51.98,economy
SH2510189,"0004253",Hamburg,Bilbao,159 Main St,2025-10-17,2025-04-25,delivered,,59.74,standard
SH2510190,"0004421",Porto,Aarhus,22 Dock Approach,2025-07-19,2025-01-16,delivered,N/A,39.83,economy
SH2510191,"0004186",Bremen,Bremen,139 Kingsway,2025-05-05,2025-03-09,delivered,N/A,86.19,standard
SH2510192,"0004666",Marseille,Rotterdam,183 Main St,2025-05-13,2025-02-11,delivered,N/A,34.30,standard
SH2510193,"0004490",Porto,Malmo,131 Bridge St,2025-02-09,2025-01-11,failed,address_incorrect,44.08,express
SH2510194,"0004038",Turin,Bremen,64 Kingsway,2025-05-19,nan,delivered,NULL,34.10,express
SH2510195,"0004867",Aarhus,Antwerp,1 Elm Grove,2025-10-10,-,delivered,nan,23.08,economy
SH2510196,"0004435",Gdansk,Antwerp,42 Harbour Rd,2025-05-03,2025-07-23,delivered,nan,90.39,express
SH2510197,"0004651",Utrecht,Turin,193 Elm Grove,2025-05-08,2025-11-11,failed,site_access_denied,30.06,express
SH2510198,"0004004",Malmo,Rotterdam,231 Main St,2025-11-06,2025-07-18,returned,-,69.12,standard
SH2510199,"0005375",Aarhus,Bremen,91 Bridge St,2025-10-12,2025-07-06,returned,,11.73,express
SH2510200,"0004453",Rotterdam,Turin,175 Dock Approach,03/04/2025,21/10/2025,returned,NULL,21.58,-
SH2510201,"0005441",Bilbao,Rotterdam,51 Bridge St,28/02/2025,19/05/2025,delivered,nan,17.94,express
SH2510202,"0004262",Hamburg,Lyon,"67 Station Rd, Unit 29",24/09/2025,07/05/2025,delivered,nan,55.80,-
SH2510203,"0005312",Antwerp,Utrecht,111 Bridge St,04/05/2025,17/11/2025,delivered,nan,68.81,express
SH2510204,"0004860",Aarhus,Utrecht,2 Bridge St,11/04/2025,19/02/2025,returned,NULL,88.53,standard
SH2510205,"0004403",Marseille,Utrecht,80 Harbour Rd,21/11/2025,01/02/2025,delivered,nan,72.25,economy
SH2510206,"0004969",Porto,Utrecht,214 Main St,17/06/2025,03/04/2025,in_transit,-,69.27,standard
SH2510207,"0004124",Antwerp,Manchester,81 Harbour Rd,02/03/2025,02/08/2025,returned,-,6.42,standard
SH2510208,"0004781",Manchester,Bremen,159 Bridge St,28/04/2025,26/10/2025,delivered,-,35.05,standard
SH2510209,"0005383",Rotterdam,Aarhus,133 Dock Approach,07/10/2025,,in_transit,NULL,81.89,economy
SH2510210,"0004985",Aarhus,Marseille,63 Kingsway,02/01/2025,10/03/2025,in_transit,N/A,28.51,express
SH2510211,"0004632",Utrecht,Gdansk,95 Main St,19/09/2025,22/11/2025,delivered,nan,74.23,standard
SH2510212,"0004400",Bilbao,Bilbao,202 Harbour Rd,07/06/2025,16/11/2025,failed,site_access_denied,62.82,economy
SH2510213,"0004857",Utrecht,Marseille,27 Elm Grove,16/01/2025,01/04/2025,returned,NULL,42.49,express_am
SH2510214,"0004678",Manchester,Bilbao,103 Kingsway,12/01/2025,03/01/2025,in_transit,,13.32,economy
SH2510215,"0004060",Bilbao,Bilbao,73 Kingsway,09/04/2025,06/12/2025,in_transit,NULL,N/A,NULL
SH2510216,"0004776",Bremen,Utrecht,240 Station Rd,15/05/2025,12/04/2025,returned,NULL,85.20,express_am
SH2510217,"0004133",Bremen,Lyon,226 Kingsway,07/04/2025,13/09/2025,delivered,nan,39.16,standard
SH2510218,"0005202",Bilbao,Gdansk,203 Kingsway,08/06/2025,21/01/2025,delivered,nan,87.65,express
SH2510219,"0004963",Hamburg,Marseille,131 Bridge St,25/11/2025,12/09/2025,failed,recipient_absent,29.46,express_am
SH2510220,"0005013",Malmo,Turin,149 Bridge St,26/11/2025,NULL,delivered,-,78.19,economy
SH2510221,"0004772",Marseille,Leeds,66 Harbour Rd,25/03/2025,10/02/2025,delivered,NULL,53.06,economy
SH2510222,"0004957",Dublin,Dublin,95 Elm Grove,09/06/2025,01/07/2025,delivered,N/A,58.58,standard
SH2510223,"0005027",Hamburg,Turin,238 Station Rd,04/02/2025,NULL,delivered,NULL,61.26,economy
SH2510224,"0005237",Lyon,Turin,3 Mill Lane,27/05/2025,26/06/2025,failed,site_access_denied,nan,express
SH2510225,"0004466",Porto,Bilbao,122 Station Rd,19/09/2025,25/09/2025,failed,damaged_in_transit,71.77,express
SH2510226,"0005429",Dublin,Bilbao,113 Elm Grove,01/09/2025,05/06/2025,delivered,N/A,N/A,economy
SH2510227,"0004871",Manchester,Gdansk,84 Main St,26/10/2025,05/01/2025,delivered,nan,57.19,express_am
SH2510228,"0004418",Manchester,Hamburg,137 Bridge St,16/04/2025,11/02/2025,failed,damaged_in_transit,8.89,nan
SH2510229,"0005000",Rotterdam,Marseille,51 Harbour Rd,10/07/2025,08/04/2025,in_transit,,41.42,standard
SH2510230,"0004841",Manchester,Marseille,29 Kingsway,14/09/2025,NULL,delivered,NULL,28.38,express_am
SH2510231,"0005177",Gdansk,Bilbao,129 Elm Grove,07/05/2025,05/01/2025,failed,site_access_denied,73.18,express_am
SH2510232,"0005179",Antwerp,Hamburg,74 Elm Grove,23/06/2025,26/12/2025,in_transit,NULL,37.85,express_am
SH2510233,"0005349",Marseille,Bremen,101 Main St,28/04/2025,09/03/2025,in_transit,N/A
SH2510234,"0004842",Bremen,Leeds,20 Harbour Rd,25/09/2025,14/06/2025,delivered,NULL,46.05,standard
SH2510235,"0005383",Aarhus,Manchester,88 Bridge St,13/04/2025,01/01/2025,returned,NULL,29.94,express_am
SH2510236,"0004169",Porto,Aarhus,36 Elm Grove,27/05/2025,06/03/2025,in_transit,,16.45,express_am
SH2510237,"0005375",Rotterdam,Turin,40 Elm Grove,06/06/2025,nan,delivered,-,63.21,standard
